IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
158.179.178.142,8443,8443,TRUE,NRT,Asia Pacific,Tokyo,113,20.88
158.180.69.220,443,443,TRUE,SIN,Asia Pacific,Singapore,97,20.87
141.147.186.101,2086,2086,FALSE,NRT,Asia Pacific,Tokyo,105,20.75
132.145.120.95,8880,8880,FALSE,NRT,Asia Pacific,Tokyo,87,20.75
168.138.209.84,2087,2087,TRUE,NRT,Asia Pacific,Tokyo,100,20.72
140.238.33.150,8080,8080,FALSE,NRT,Asia Pacific,Tokyo,84,20.6
140.238.44.118,8880,8880,FALSE,NRT,Asia Pacific,Tokyo,79,20.58
155.248.167.70,80,80,FALSE,NRT,Asia Pacific,Tokyo,305,20.52
132.145.117.216,2082,2082,FALSE,NRT,Asia Pacific,Tokyo,299,20.51
141.147.181.242,8080,8080,FALSE,NRT,Asia Pacific,Tokyo,102,20.47
