IP地址	端口	回源端口	TLS	数据中心	地区	城市	TCP延迟(ms)	速度(MB/s)
168.138.197.222	8880	8880	FALSE	NRT	Asia Pacific	Tokyo	70	20.88
132.145.127.21	2052	2052	FALSE	NRT	Asia Pacific	Tokyo	71	20.87
151.145.65.203	2082	2082	FALSE	NRT	Asia Pacific	Tokyo	71	20.75
132.145.123.238	2052	2052	FALSE	NRT	Asia Pacific	Tokyo	68	20.75
151.145.74.199	2086	2086	FALSE	NRT	Asia Pacific	Tokyo	73	20.72
132.145.112.247	2086	2086	FALSE	NRT	Asia Pacific	Tokyo	69	20.6
158.101.89.33	8880	8880	FALSE	NRT	Asia Pacific	Tokyo	70	20.58
132.145.123.14	2082	2082	FALSE	NRT	Asia Pacific	Tokyo	70	20.52
140.238.13.96	443	443	TRUE	ICN	Asia Pacific	Seoul	148	20.51
151.145.74.199	2095	2095	FALSE	NRT	Asia Pacific	Tokyo	70	20.47
