IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.222.240.47,2083,2083,true,SIN,Asia Pacific,Singapore,93,12.39
47.236.147.146,2082,2082,false,SIN,Asia Pacific,Singapore,27,12.39
47.74.43.24,2052,2052,false,NRT,Asia Pacific,Tokyo,74,12.39
47.236.145.180,2096,2096,true,SIN,Asia Pacific,Singapore,189,12.39
8.222.215.228,2095,2095,false,SIN,Asia Pacific,Singapore,7,12.39
8.222.226.15,2087,2087,true,SIN,Asia Pacific,Singapore,86,12.38
8.218.204.128,8080,8080,false,HKG,Asia Pacific,Hong Kong,50,12.38
8.219.103.65,80,80,false,SIN,Asia Pacific,Singapore,12,12.38
8.209.240.229,2096,2096,true,NRT,Asia Pacific,Tokyo,97,12.38
8.219.247.53,2082,2082,false,SIN,Asia Pacific,Singapore,18,12.38
8.219.228.30,2082,2082,false,SIN,Asia Pacific,Singapore,24,12.38
8.219.151.193,443,443,true,NRT,Asia Pacific,Tokyo,106,12.37
8.219.245.232,2096,2096,true,SIN,Asia Pacific,Singapore,69,12.37
8.219.77.91,2095,2095,false,SIN,Asia Pacific,Singapore,22,12.37
47.245.114.163,2095,2095,false,SIN,Asia Pacific,Singapore,5,12.37
8.219.170.232,443,443,true,SIN,Asia Pacific,Singapore,162,12.37
47.74.11.9,2087,2087,true,NRT,Asia Pacific,Tokyo,140,12.37
47.91.10.228,8880,8880,false,NRT,Asia Pacific,Tokyo,82,12.37
47.236.88.85,8880,8880,false,SIN,Asia Pacific,Singapore,19,12.36
8.222.224.162,2083,2083,true,SIN,Asia Pacific,Singapore,71,12.36
8.222.254.91,2095,2095,false,SIN,Asia Pacific,Singapore,29,12.36
47.236.169.236,2095,2095,false,SIN,Asia Pacific,Singapore,49,12.36
47.236.92.191,2053,2053,true,SIN,Asia Pacific,Singapore,119,12.36
8.218.142.253,8880,8880,false,HKG,Asia Pacific,Hong Kong,55,12.36
8.218.149.193,8080,8080,false,HKG,Asia Pacific,Hong Kong,45,12.36
8.219.56.205,2096,2096,true,SIN,Asia Pacific,Singapore,163,12.35
